date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:39	60025/60025	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2010:16:39%20GMT	https://www.sikkakaamyagreens.in/	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/index.html	(from )
15:46:40	147/147	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Aug%202022%2017:00:35%20GMT	https://www.sikkakaamyagreens.in/robots.txt		(from )
15:46:40	6694/6694	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Aug%202022%2017:51:54%20GMT	https://www.sikkakaamyagreens.in/img/images/favicon.png	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/img/images/favicon.png	(from https://www.sikkakaamyagreens.in/)
15:46:40	61017/61017	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Aug%202022%2017:22:18%20GMT	https://www.sikkakaamyagreens.in/style.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/style.css	(from https://www.sikkakaamyagreens.in/)
15:46:40	10401/10401	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Jan%202020%2012:29:46%20GMT	https://www.sikkakaamyagreens.in/css/bootstrap-theme.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/bootstrap-theme.css	(from https://www.sikkakaamyagreens.in/)
15:46:40	140427/140427	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jan%202020%2013:21:50%20GMT	https://www.sikkakaamyagreens.in/css/bootstrap.min.css	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/css/bootstrap.min.css	(from https://www.sikkakaamyagreens.in/)
15:46:41	2443/2443	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Dec%202019%2015:11:01%20GMT	https://www.sikkakaamyagreens.in/js/validation.js	C:/My%20Web%20Sites/sikkagreens/www.sikkakaamyagreens.in/js/validation.js	(from https://www.sikkakaamyagreens.in/)
15:46:41	121457/121457	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/sikkagreens/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from https://www.sikkakaamyagreens.in/)
15:46:41	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/sikkagreens/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.sikkakaamyagreens.in/)
15:46:41	39680/39680	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/sikkagreens/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://www.sikkakaamyagreens.in/)
